model,horizon,mae,rmse,mase,smape,directional_accuracy
chronos_t5_large,12,155.0222585042318,194.87851025392425,18.0069982562916,3.6750027355737704,0.8181818181818182
chronos_bolt_base,12,177.47977023654514,214.39903551423785,20.61560671359501,4.119535268541935,0.6363636363636364
naive,12,183.2166748046875,209.5533093114865,21.281991215742043,4.3273076936354675,0.7272727272727273
sarima,12,183.66060797635683,219.44057635549675,21.33355738388648,4.273315812393191,0.7272727272727273
chronos_t5_base,12,184.86943562825527,216.95071662295175,21.473971783921158,4.308558920426,0.5454545454545454
moving_average,12,193.39956461588545,249.3752918851855,22.464810256333205,4.5414201182212155,0.6363636363636364
chronos_bolt,12,195.93753164785872,231.6983478757674,22.759614166173165,4.5273567472276275,0.6363636363636364
chronos_original,12,196.1482493082683,232.27294340045867,22.78409060317116,4.532986683811953,0.6363636363636364
patchtst,12,218.8799959309896,276.2199988955566,25.4245535002243,5.289525953283289,0.5454545454545454
chronos_t5_large,13,170.76946004231772,217.93935723290542,19.836153845777773,3.9804884101976126,0.8181818181818182
chronos_t5_base,13,190.47426656087234,229.97958790033368,22.125014942524665,4.424518817122238,0.6363636363636364
naive,13,194.8166707356771,221.40906213482293,22.629417762857,4.579305251461362,0.7272727272727273
sarima,13,195.51535549526523,239.25492628998856,22.710575239009092,4.510415445741626,0.7272727272727273
chronos_bolt_base,13,199.43412498191552,240.9173286354088,23.165769712330448,4.563596556274951,0.7272727272727273
moving_average,13,201.45537923177085,261.2454978973728,23.4005535563013,4.687725328539369,0.2727272727272727
chronos_original,13,222.78599853515627,265.2110856701968,25.878265004371812,5.058829384208551,0.7272727272727273
chronos_bolt,13,223.38978407118074,263.44920305712327,25.948399223801147,5.0912868139647935,0.6363636363636364
patchtst,13,255.7598837239583,304.68949478961764,29.708429129362347,6.075954202496149,0.6363636363636364
chronos_t5_large,14,166.37644042968736,209.09475020308815,19.325871662639987,3.8931811574066244,0.6363636363636364
chronos_t5_base,14,194.3664276123047,237.65172766633495,22.577118646486863,4.458109978249177,0.8181818181818182
chronos_bolt_base,14,196.67642098886003,245.6071555104793,22.84544170605925,4.528483154552406,0.6363636363636364
naive,14,198.24169921875,223.9920066406649,23.027260514714207,4.62476856234401,0.8181818181818182
sarima,14,202.35509479270726,244.3594583973313,23.505062268103472,4.6597633175959094,0.7272727272727273
chronos_original,14,209.18801574707027,261.20732834096,24.29875729550003,4.794366656725744,0.6363636363636364
moving_average,14,211.81206461588545,258.94265921145376,24.603560256449597,4.924888329425319,0.5454545454545454
chronos_bolt,14,221.5310375072339,269.0112191623259,25.732491866633044,5.08525309464499,0.6363636363636364
patchtst,14,266.98210387369784,316.50956677934954,31.011974185523194,6.360132287155128,0.45454545454545453
chronos_t5_large,15,177.79859924316398,216.57178780766412,20.652641094474475,4.179284060148524,0.7272727272727273
naive,15,209.71675618489584,239.45395532759662,24.360174463807486,4.909409807422647,0.7272727272727273
chronos_t5_base,15,210.41890055338527,254.12105918930513,24.441733799486425,4.841089684413804,0.7272727272727273
sarima,15,214.4198195719399,257.5213203827209,24.906470557199903,4.951483375140215,0.5454545454545454
chronos_bolt_base,15,219.31339066116905,256.2567704712765,25.47489554933342,5.031460453787919,0.5454545454545454
chronos_original,15,228.02762349446616,264.77139118673625,26.487119064512157,5.2401799622835465,0.5454545454545454
moving_average,15,240.12628173828125,295.6366055421502,27.892468980078633,5.6137006984035915,0.36363636363636365
chronos_bolt,15,245.88445366753479,279.7852042176938,28.561323845760164,5.6372043339682065,0.5454545454545454
patchtst,15,263.8972534830729,332.2595403264322,30.65364567101902,6.305346987719559,0.45454545454545453
chronos_t5_large,16,187.64566141764328,217.6542726469646,21.7964512357814,4.401108339389238,0.9090909090909091
chronos_original,16,210.8897420247396,243.13152107571162,24.496425568497365,4.910218329234088,0.6363636363636364
naive,16,218.18339029947916,246.71173613900285,25.34363753039543,5.0969094197969875,0.6363636363636364
chronos_t5_base,16,218.86949666341135,249.81987219543248,25.423333931532692,5.018770022566372,0.7272727272727273
sarima,16,223.8164501758017,254.0019557933533,25.997959692575495,5.157919293764973,0.7272727272727273
chronos_bolt_base,16,226.30734365957758,250.55458689223116,26.287295656660525,5.1987716783994395,0.6363636363636364
chronos_bolt,16,241.37606698495378,276.226477483234,28.037640911998054,5.588193527481006,0.5454545454545454
moving_average,16,252.77706705729165,312.6936077967614,29.361952597322674,5.890777230455711,0.45454545454545453
patchtst,16,295.0208792643228,339.510016059383,34.26888828572483,6.979163854561759,0.36363636363636365
chronos_t5_large,17,202.03943786621096,232.60784960671464,23.468396348126245,4.790207587784623,0.8181818181818182
chronos_t5_base,17,231.27794698079427,261.48181701257863,26.864668520412362,5.335832380714912,0.7272727272727273
naive,17,231.5916544596354,259.9191356370781,26.901107997420265,5.460076128183036,0.8181818181818182
chronos_original,17,232.29236551920584,258.34959394596257,26.982500843516007,5.42475466737602,0.6363636363636364
sarima,17,237.55428284232983,264.7956486009562,27.593712013940657,5.524282368975754,0.7272727272727273
chronos_bolt_base,17,241.46469229239005,270.87222210936994,28.047935406297558,5.597419638968161,0.5454545454545454
chronos_bolt,17,265.85526756004055,295.6882614784694,30.88108369449994,6.166890226227487,0.6363636363636364
moving_average,17,285.43533121744787,333.57643481485667,33.15545497214061,6.708627282480658,0.45454545454545453
patchtst,17,314.91974303385416,346.8855267750512,36.58029058793264,7.547571651832407,0.36363636363636365
chronos_t5_large,18,210.02020263671872,255.94090189586134,24.395422045552035,4.9022973536455305,0.6363636363636364
naive,18,236.0084228515625,278.83249397966415,27.41414877942967,5.52096261781623,0.6363636363636364
chronos_t5_base,18,238.77362263997398,285.2570774803851,27.735347478562698,5.448871992591684,0.45454545454545453
sarima,18,240.48618376317066,284.94233921315526,27.93427430014783,5.5365354365265285,0.5454545454545454
chronos_original,18,241.64355265299477,273.6107874295026,28.068711378939195,5.5585897721395305,0.45454545454545453
chronos_bolt_base,18,246.65464726200813,286.67801591895864,28.650787609522254,5.643257595820576,0.45454545454545453
chronos_bolt,18,279.37429470486114,315.7368251484427,32.45142011310461,6.39342779650525,0.45454545454545453
patchtst,18,286.4347443684896,344.98249516399227,33.271544306935276,6.855811060886506,0.45454545454545453
moving_average,18,288.8021321614583,354.3023362944157,33.54653415852998,6.725170889761142,0.5454545454545454
chronos_t5_large,19,216.57758178710938,256.6168030262975,25.157110825384283,5.080021936715045,0.6363636363636364
naive,19,230.7416788736979,268.67471183959873,26.802376956848764,5.447861523933473,0.5454545454545454
chronos_t5_base,19,237.24508056640627,290.04705650011465,27.55779585004833,5.4331737450038835,0.6363636363636364
sarima,19,241.75449047345833,283.70057583077465,28.081597639008677,5.5996784836158655,0.6363636363636364
chronos_bolt_base,19,252.4923615632234,299.7753211057316,29.328881918410435,5.780326582015264,0.45454545454545453
chronos_original,19,253.5956370035807,289.8576750646373,29.45703563725321,5.84496630283465,0.5454545454545454
moving_average,19,267.78546956380205,329.1953755742918,31.10529113704004,6.2794979570955425,0.5454545454545454
patchtst,19,276.57644127604175,324.4471448486752,32.12642844868027,6.647330970635043,0.45454545454545453
chronos_bolt,19,285.89313874421293,321.47282219701884,33.20863275071072,6.549778193340298,0.45454545454545453
chronos_t5_large,20,247.50635681152332,298.1741381635938,28.749720062970983,5.74263484034686,0.7272727272727273
naive,20,266.52496337890625,323.91744069852615,30.958873887720685,6.297719817803762,0.0
chronos_t5_base,20,266.85860799153664,340.127830534099,30.997629212380676,6.145200589724688,0.7272727272727273
sarima,20,278.6347617089462,335.45670571004416,32.365517807871804,6.41353984254189,0.5454545454545454
chronos_original,20,285.27855834960934,335.0530733943012,33.13724462747759,6.529734345914033,0.5454545454545454
moving_average,20,289.9753784179688,378.8600263196146,33.68281551256926,6.844480280546624,0.36363636363636365
chronos_bolt_base,20,290.36922652633103,349.3802791012056,33.72856392488728,6.614622464655159,0.45454545454545453
patchtst,20,312.60796783854164,358.3389593188721,36.31176055674493,7.478390588409525,0.45454545454545453
chronos_bolt,20,330.1939697265625,372.6165736804113,38.35450660101113,7.566614894766375,0.36363636363636365
