model,horizon,mae,rmse,mase,smape,directional_accuracy
chronos_t5_large,3,115.0019165039062,163.05108669312042,13.35833531221261,2.5813137775132677,0.8181818181818182
moving_average,3,154.67122395833334,213.92495331564177,17.9662229604284,3.4983514102096716,0.9090909090909091
tft,3,167.7937127929688,241.1440014035452,19.490498479592226,3.85026642445443,0.7272727272727273
patchtst,3,195.2578798502603,262.96053942900255,22.680667511335816,4.651619944696486,0.7272727272727273
xgboost,3,1569.7545166015625,1626.5329970530604,182.33876293628234,45.447545801756526,0.36363636363636365
chronos2,4,66.11710611979167,101.04489741590683,7.679997866742698,1.5050362732694946,1.0
sarimax,4,71.53810568761848,103.53825158476168,8.30968763327742,1.6298353619779302,1.0
xgboost_diff,4,112.33251849232856,164.44871475928767,13.04826470813536,2.583280233007451,1.0
naive,4,121.17502848307292,172.98958765587298,14.075388577448798,2.7491517091932844,0.9090909090909091
sarima,4,125.27713050052505,182.70776488880585,14.551878499529082,2.8194571315158257,0.9090909090909091
chronos_t5_large,4,128.13754577636712,189.8533306672877,14.884137191805532,2.8911689836022876,0.8181818181818182
moving_average,4,181.66290283203125,240.20046591177078,21.101508945181315,4.12473233864145,0.8181818181818182
tft,4,181.8091998046876,272.1442401295785,21.118502436031868,4.175927890197488,0.7272727272727273
patchtst,4,204.63554205729167,283.9731725494195,23.769953325124263,4.831903715450431,0.8181818181818182
xgboost,4,1588.628662109375,1648.5224993341217,184.5311365252589,45.850087231153985,0.36363636363636365
sarimax,5,92.8017783599524,146.42211758172053,10.779622727937518,2.134604815727448,0.9090909090909091
chronos2,5,101.48221842447917,150.31668097318092,11.787920959520246,2.299351565232639,0.9090909090909091
xgboost_diff,5,176.5481125014064,228.7318193679353,20.50738767863852,4.0668188530857785,0.7272727272727273
chronos_t5_large,5,176.56727498372382,263.26281020867367,20.509613544710948,3.9197803496981662,1.0
naive,5,184.9000447591146,245.02323225381286,21.47752726409109,4.157570937118077,1.0
sarima,5,186.70155537179673,256.33745436319845,21.68678623615266,4.157754540826612,1.0
moving_average,5,205.66706949869794,294.47675502701435,23.88977297565666,4.606968977987846,0.8181818181818182
